,id,headline,about,url,modified_date,published_date,primary_tag,secondary_tag
651,p4zwz1,Tottenham Hotspur begin EPL campaign with 2-1 win over Newcastle,Jan Vertonghen and Dele Alli were on target as Tottenham Hotspur began their Premier League campaign with an entertaining 2-1 victory over Newcastle United on Saturday.,https://theage.com.au//sport/tottenham-hotspur-begin-epl-campaign-with-2-1-win-over-newcastle-20180811-p4zwz1.html,2018-08-11T13:43:06Z,2018-08-11T13:43:06Z,EPL,[]
652,p4zwvj,Pogba penalty sets United on way to win over Leicester,World Cup winner Paul Pogba's third minute penalty and a late goal from Luke Shaw gave Manchester United a 2-1 win over Leicester City at Old Trafford.,https://theage.com.au//sport/soccer/pogba-penalty-sets-united-on-way-to-win-over-leicester-20180811-p4zwvj.html,2018-08-10T23:58:50Z,2018-08-10T21:21:37Z,EPL,[]
653,p4zwmz,Everton head late rush on deadline day as Man United left empty-handed,Everton brought in three new faces on the final day of the Premier League transfer window - but Manchester United came up with nothing.,https://theage.com.au//sport/soccer/everton-head-late-rush-on-deadline-day-as-man-united-left-empty-handed-20180810-p4zwmz.html,2018-08-11T23:35:28Z,2018-08-09T22:17:34Z,EPL,[]
654,p4zwmt,Tottenham make history by signing ... nobody?,Tottenham have become the first team in Premier League history not to make a summer signing since the transfer window's inception in 2003.,https://theage.com.au//sport/soccer/tottenham-make-history-by-signing-nobody-20180810-p4zwmt.html,2018-08-09T22:25:37Z,2018-08-09T22:17:05Z,EPL,[]
655,p4zwmq,Emery set for baptism of fire as Arsenal host Man City,Arsenal fans heading to their clash with Manchester City on Sunday will do so with a sense of excitement and a little trepidation.,https://theage.com.au//sport/soccer/emery-set-for-baptism-of-fire-as-arsenal-host-man-city-20180810-p4zwmq.html,2018-08-09T21:37:08Z,2018-08-09T21:37:08Z,EPL,[]
656,p4zwdd,Two Aussies left flying the flag ahead of anticipated EPL kick-off,"Once a hotbed of Australian talent, this year's English Premier League will be graced by just two Socceroos.",https://theage.com.au//sport/soccer/two-aussies-left-flying-the-flag-ahead-of-anticipated-epl-kick-off-20180809-p4zwdd.html,2018-08-08T23:58:24Z,2018-08-08T23:58:24Z,EPL,['Socceroos']
657,p4zwdh,"Transfer wrap: Chelsea land keeper in world record bid, Spurs denied","Tottenham Hotspur's late attempt to sign Jack Grealish has hit the rocks, while Chelsea have spashed the cash on Athletic Bilbao goalkeeper Kepa.",https://theage.com.au//sport/soccer/transfer-wrap-chelsea-land-keeper-in-world-record-bid-spurs-denied-20180809-p4zwdh.html,2018-08-08T23:12:39Z,2018-08-08T23:12:39Z,EPL,[]
658,p4zw70,Premier League winning keeper Joe Hart makes switch to Burnley,"England goalkeeper Joe Hart has signed a two-year contract with Premier League club Burnley as he seeks to rebuild his career.

",https://theage.com.au//sport/soccer/premier-league-winning-keeper-joe-hart-makes-switch-to-burnley-20180808-p4zw70.html,2018-08-08T01:48:19Z,2018-08-08T01:48:19Z,EPL,[]
659,p4zw4n,American billionaire wins full control of Arsenal in $3bn deal,American billionaire Stan Kroenke has struck a deal to take full control of Arsenal.,https://theage.com.au//sport/soccer/american-billionaire-wins-full-control-of-arsenal-in-3bn-deal-20180808-p4zw4n.html,2018-08-07T22:16:07Z,2018-08-07T22:14:08Z,EPL,[]
660,p4zvp7,Manchester City off to a flying start with Shield win,Manchester City's attacking ruthlessness has not been blunted by fatigue after the World Cup - winning the Community Shield demonstrated that beyond any doubt on Sunday.,https://theage.com.au//sport/soccer/manchester-city-off-to-a-flying-start-with-shield-win-20180806-p4zvp7.html,2018-08-05T21:51:34Z,2018-08-05T21:51:34Z,EPL,[]
